PS1_mean,PS1_std,PS1_min,PS1_max,PS2_mean,PS2_std,PS2_min,PS2_max,PS3_mean,PS3_std,PS3_min,PS3_max,PS4_mean,PS4_std,PS4_min,PS4_max,PS5_mean,PS5_std,PS5_min,PS5_max,PS6_mean,PS6_std,PS6_min,PS6_max,FS1_mean,FS1_std,FS1_min,FS1_max,FS2_mean,FS2_std,FS2_min,FS2_max,TS1_mean,TS1_std,TS1_min,TS1_max,TS2_mean,TS2_std,TS2_min,TS2_max,TS3_mean,TS3_std,TS3_min,TS3_max,TS4_mean,TS4_std,TS4_min,TS4_max,VS1_mean,VS1_std,VS1_min,VS1_max,CE_mean,CE_std,CE_min,CE_max,CP_mean,CP_std,CP_min,CP_max,SE_mean,SE_std,SE_min,SE_max,cooler_condition,valve_condition,pump_leakage,accumulator_pressure,stable
160.67349166666625,13.93930855334731,145.83,191.51,109.46691350000005,47.114507712259,0.0,156.99,1.9914753333333262,0.9457048337952314,0.0,10.039,0.0,0.0,0.0,0.0,9.842169500000013,0.08815395409747939,9.681,10.016,9.72809749999997,0.08536617142807437,9.568,9.887,6.709815000000007,3.015427901612756,0.0,18.71,10.304591666666655,0.09177151854787625,10.148,10.446,35.62198333333334,0.3082298554412129,35.156,36.152,40.97876666666664,0.15430174781424608,40.773,41.25,38.471016666666664,0.08465893520907608,38.316,38.613,31.745250000000006,1.1164783712145214,30.363,33.594,0.5769500000000001,0.02707830766061112,0.532,0.624,39.60135,6.370535064734905,28.866,47.438,1.8627499999999997,0.2793851375516346,1.383,2.188,59.15718333333337,23.76398403544754,0.0,79.568,3,100,0,130,1
160.60332000000074,14.118967490038504,145.73,191.47,109.3548903333334,47.04561102371902,0.0,157.56,1.9762343333333219,0.9419670261749908,0.0,9.992,0.0,0.0,0.0,0.0,9.635142166666707,0.03839180394833367,9.557,9.745,9.529487833333397,0.03631606616107796,9.454,9.637,6.715314999999993,3.0062481343890304,0.0,18.712,10.403098333333327,0.019161870804023092,10.352,10.453,36.676966666666665,0.5857401797658159,35.648,37.488,41.53276666666667,0.33823446720028405,41.031,42.105,38.97896666666667,0.1769205477777774,38.668,39.254,34.49386666666666,0.43531249117358356,33.648,35.148,0.5658500000000001,0.02724081247699449,0.524,0.626,25.786433333333324,1.6861293491072695,23.32,29.208,1.2555500000000002,0.0746050448151089,1.147,1.414,59.33561666666665,23.85791812211936,0.0,80.441,3,100,0,130,1
160.34771999999944,14.19261854410441,145.37,191.41,109.15884466666672,46.992060267562614,0.0,156.97,1.9722239999999964,0.943500834902427,0.0,10.914,0.0,0.0,0.0,0.0,9.5305478333333,0.035816651398362,9.455,9.64,9.427948833333366,0.03603099018920461,9.348,9.536,6.718521666666663,3.014248300027873,0.0,18.698,10.366249999999996,0.026361190297921,10.296,10.443,37.88080000000001,0.559169080884261,36.879,38.621,42.44245000000001,0.39058823196449827,41.832,43.039,39.63194999999999,0.2511332568814099,39.234,40.062,35.64615,0.29388922304795156,35.098,36.141,0.5765333333333332,0.03672918142787259,0.529,0.662,22.21823333333334,0.6383451159096074,21.22,23.554,1.113216666666666,0.023263480995384125,1.076,1.159,59.543150000000004,23.923380524559676,0.0,80.824,3,100,0,130,1
160.1880883333334,14.227802960812765,145.14,191.34,109.06480716666653,46.97222148961298,0.0,156.44,1.9465754999999827,0.9355342055075784,0.0,10.297,0.0,0.0,0.0,0.0,9.438826666666722,0.037068580165617426,9.363,9.535,9.337429500000049,0.0373749003603509,9.257,9.431,6.720564999999993,3.020175558326622,0.0,18.896,10.302678333333336,0.026749656148487736,10.241,10.382,38.879049999999985,0.5161757493696195,37.887,39.473,43.40398333333333,0.39847576076959057,42.805,43.988,40.403383333333345,0.2854337817871432,40.023,40.934,36.579466666666654,0.26239674105734295,36.105,36.988,0.5692666666666667,0.033463801169331675,0.527,0.645,20.45981666666667,0.4557550446615631,19.673,21.565,1.0621500000000001,0.024621077507434946,1.022,1.107,59.79489999999999,24.023004578380316,0.0,80.93,3,100,0,130,1
160.0004716666663,14.27643404667445,144.95,191.41,108.93143433333374,46.874946219750896,0.0,158.13,1.9227069999999837,0.9303354813375868,0.0,11.102,0.0,0.0,0.0,0.0,9.358761999999949,0.029779089224249895,9.29,9.443,9.260636166666663,0.028592447370707222,9.195,9.342,6.690308333333334,3.01155025329881,0.0,18.876,10.23775,0.0291704592494079,10.179,10.312,39.80391666666669,0.5353736630051458,38.789,40.391,44.332750000000004,0.37276891669536666,43.742,44.887,41.310550000000006,0.2935792807195303,40.859,41.777,37.427899999999994,0.23957056920063982,36.992,37.781,0.5773666666666666,0.0334835991558461,0.524,0.66,19.787016666666677,0.29015644474899843,19.133,20.46,1.0704666666666671,0.021477198525347192,1.016,1.106,59.455266666666674,23.972261687962575,0.0,81.1,3,100,0,130,1
159.9202100000004,14.276070682144542,144.71,191.28,108.88768166666719,46.84425876169337,0.0,156.55,1.91328449999999,0.9326029533539539,0.0,11.453,0.0,0.0,0.0,0.0,9.301159666666644,0.031070839588500782,9.233,9.381,9.206877000000002,0.030226381578965525,9.141,9.287,6.699023333333328,3.0048574769668686,0.0,18.96,10.178720000000004,0.022447154041011573,10.126,10.256,40.65944999999999,0.5104791177521536,39.633,41.227,45.17061666666665,0.36996967771613154,44.605,45.687,42.12411666666665,0.2663306274301633,41.746,42.609,38.21206666666665,0.2129950159890089,37.824,38.586,0.5726833333333334,0.03073147322091283,0.525,0.643,19.149683333333336,0.2772857237559662,18.588,19.651,1.0720833333333333,0.02113178316865394,1.024,1.109,59.56333333333331,23.982168019965442,0.0,80.946,3,100,0,130,1
159.67267499999937,14.371118645959022,144.49,191.19,108.67646550000013,46.7893887096043,0.0,155.04,1.8880996666666647,0.9157996183063395,0.0,10.312,0.0,0.0,0.0,0.0,9.233941833333331,0.02551527558516502,9.17,9.302,9.14332016666673,0.025541581562300946,9.075,9.208,6.6985733333333295,3.0125156977745005,0.0,19.208,10.140809999999998,0.017606643343248598,10.091,10.2,41.46363333333333,0.5104826883854562,40.539,42.062,45.94723333333334,0.3421609476902551,45.363,46.457,42.88811666666665,0.20194965740078374,42.598,43.203,38.93209999999999,0.19430691256665655,38.562,39.242,0.5730333333333333,0.03288808277629701,0.518,0.649,18.666383333333332,0.2382952940683917,18.348,19.415,1.0816833333333336,0.012652448904336125,1.053,1.11,59.789899999999975,24.04009519263987,0.0,80.848,3,100,0,130,1
159.61445166666644,14.387503982431117,144.41,191.17,108.6517446666669,46.806641202471624,0.0,159.09,1.8748941666666623,0.917559658144189,0.0,10.398,0.0,0.0,0.0,0.0,9.194159166666767,0.026466895965889834,9.125,9.26,9.105058166666646,0.027312679235965264,9.04,9.172,6.678026666666669,3.0047145452526727,0.0,19.333,10.095978333333333,0.018820774864487425,10.049,10.156,42.215266666666665,0.4825752199790752,41.227,42.734,46.66523333333335,0.32350843473491164,46.187,47.117,43.51988333333331,0.159287937946165,43.273,43.875,39.55896666666667,0.17140041004901857,39.227,39.828,0.5720000000000002,0.03794911847751326,0.525,0.669,18.178433333333334,0.33560248714592544,17.418,18.788,1.0786999999999998,0.018538370652262798,1.033,1.105,59.59061666666667,23.962330519699265,0.0,81.01,3,100,0,130,1
159.47574499999968,14.430290295924257,144.12,191.14,108.52973849999994,46.76966521659664,0.0,167.22,1.8581203333333367,0.9143539161801051,0.0,10.789,0.0,0.0,0.0,0.0,9.144616166666712,0.023758021366170768,9.085,9.206,9.057066833333351,0.024531870469867368,9.0,9.119,6.6716516666666665,3.0138335806328356,0.0,19.577,10.039710000000001,0.01930717945819768,9.991,10.098,42.89198333333331,0.45551369741323255,41.977,43.41,47.339433333333325,0.31305191894444984,46.855,47.789,44.201249999999966,0.17751052726003494,43.875,44.457,40.08053333333334,0.17870138586685438,39.789,40.402,0.5670666666666666,0.032561736235444595,0.516,0.65,18.334866666666663,0.3587938583202917,17.587,19.081,1.1150833333333332,0.022854952856142495,1.073,1.168,59.608883333333324,23.99526272461809,0.0,81.186,3,100,0,130,1
159.43799666666678,14.415517657887966,144.16,191.16,108.51088516666725,46.75187690994249,0.0,162.14,1.8410633333333353,0.9115543885159895,0.0,10.758,0.0,0.0,0.0,0.0,9.104831499999985,0.02396090834264775,9.052,9.173,9.019264666666755,0.023900679738678612,8.965,9.087,6.659990000000001,3.0106461327752654,0.0,19.432,9.99776166666668,0.015677089944803234,9.962,10.053,43.532833333333336,0.4566669285330603,42.641,44.012,47.98141666666667,0.31789638497774786,47.449,48.422,44.79713333333333,0.17485271929920795,44.527,45.129,40.612549999999985,0.1664479788432921,40.375,40.918,0.5716833333333334,0.03181434047543662,0.516,0.653,18.205733333333335,0.2438982051251645,17.72,18.746,1.1291333333333335,0.015200877167672471,1.108,1.163,59.47373333333334,23.969264811891893,0.0,80.907,3,100,0,130,1
